ip,date,Sent,sicmp,sudp,stcp,sftp,shttp,ssmtp,Received,ricmp,rudp,rtcp,rftp,rhttp,rsmtp
1,1525040631,31696,31696,0,0,0,0,0,31696,31696,0,0,0,0,0
65,1525040631,33468,0,29346,4122,0,4122,0,4968,0,0,4968,0,4968,0
255,1525040631,0,0,0,0,0,0,0,38966,0,38966,0,0,0,0
50,1525040631,122826,0,229,122597,0,118727,0,102840,0,0,102840,0,96140,0
55,1525040631,9471,0,229,9242,0,9242,0,18609,0,0,18609,0,18609,0
77,1525040631,14991,0,6803,8188,0,4944,0,5390,0,0,5390,0,5390,0
166,1525040631,55312,0,0,55312,0,54844,0,73991,400,0,73591,0,73159,0
251,1525040631,4753,0,4753,0,0,0,0,0,0,0,0,0,0,0
200,1525040631,5644,0,5644,0,0,0,0,8738,0,8738,0,0,0,0
62,1525040631,4042,0,0,4042,0,4042,0,16897,0,0,16897,0,16897,0
69,1525040631,3938,0,0,3938,0,3938,0,8863,0,0,8863,0,8863,0
51,1525040631,4896,0,229,4667,0,4667,0,8917,0,0,8917,0,8917,0
59,1525040631,229,0,229,0,0,0,0,0,0,0,0,0,0,0
190,1525040631,5631,0,0,5631,0,5631,0,9164,0,0,9164,0,9164,0
70,1525040631,229,0,229,0,0,0,0,0,0,0,0,0,0,0
63,1525040631,229,0,229,0,0,0,0,0,0,0,0,0,0,0
79,1525040631,250,0,250,0,0,0,0,0,0,0,0,0,0,0
53,1525040631,229,0,229,0,0,0,0,0,0,0,0,0,0,0
52,1525040631,229,0,229,0,0,0,0,0,0,0,0,0,0,0
58,1525040631,229,0,229,0,0,0,0,0,0,0,0,0,0,0
250,1525040631,213808,31696,1216,180896,0,180896,0,9388677,31696,1216,9355765,0,9355765,0
0.0.0.0,1525040631,540485,64544,51073,424868,0,416818,0,9767892,64356,49152,9654384,0,9647252,0
1,1525040631,31696,31696,0,0,0,0,0,31696,31696,0,0,0,0,0
65,1525040631,33468,0,29346,4122,0,4122,0,4968,0,0,4968,0,4968,0
255,1525040631,0,0,0,0,0,0,0,38966,0,38966,0,0,0,0
50,1525040631,122826,0,229,122597,0,118727,0,102840,0,0,102840,0,96140,0
55,1525040631,9471,0,229,9242,0,9242,0,18609,0,0,18609,0,18609,0
77,1525040631,14991,0,6803,8188,0,4944,0,5390,0,0,5390,0,5390,0
166,1525040631,55312,0,0,55312,0,54844,0,73991,400,0,73591,0,73159,0
251,1525040631,4753,0,4753,0,0,0,0,0,0,0,0,0,0,0
200,1525040631,5644,0,5644,0,0,0,0,8738,0,8738,0,0,0,0
62,1525040631,4042,0,0,4042,0,4042,0,16897,0,0,16897,0,16897,0
69,1525040631,3938,0,0,3938,0,3938,0,8863,0,0,8863,0,8863,0
51,1525040631,4896,0,229,4667,0,4667,0,8917,0,0,8917,0,8917,0
59,1525040631,229,0,229,0,0,0,0,0,0,0,0,0,0,0
190,1525040631,5631,0,0,5631,0,5631,0,9164,0,0,9164,0,9164,0
70,1525040631,229,0,229,0,0,0,0,0,0,0,0,0,0,0
63,1525040631,229,0,229,0,0,0,0,0,0,0,0,0,0,0
79,1525040631,250,0,250,0,0,0,0,0,0,0,0,0,0,0
53,1525040631,229,0,229,0,0,0,0,0,0,0,0,0,0,0
52,1525040631,229,0,229,0,0,0,0,0,0,0,0,0,0,0
58,1525040631,229,0,229,0,0,0,0,0,0,0,0,0,0,0
250,1525041232,38556,31696,1216,5644,0,5644,0,49423,31696,1064,16663,0,16663,0
0.0.0.0,1525041232,381661,63532,52632,265497,0,257295,0,526377,63792,49074,413511,0,406235,0
1,1525041232,31696,31696,0,0,0,0,0,31696,31696,0,0,0,0,0
55,1525041232,10362,0,0,10362,0,10362,0,22861,0,0,22861,0,22861,0
77,1525041232,10248,0,6803,3445,0,153,0,165,0,0,165,0,165,0
166,1525041232,59827,0,229,59598,0,59182,0,101806,0,0,101806,0,101230,0
65,1525041232,28800,0,28800,0,0,0,0,0,0,0,0,0,0,0
255,1525041232,0,0,0,0,0,0,0,38662,0,38662,0,0,0,0
50,1525041232,125119,0,229,124890,0,121020,0,101581,0,0,101581,0,94881,0
251,1525041232,4753,0,4753,0,0,0,0,0,0,0,0,0,0,0
200,1525041232,7766,0,5494,2272,0,2272,0,11650,0,7103,4547,0,4547,0
